Rk,Player,Ind,From,To,Tm,Lg,MPG,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
33,Trae Young,youngtr01,2019,2020,ATL,NBA,32.8,141,141,4623,10.7,25.1,7.1,14.6,3.6,10.5,8.3,9.8,1.0,4.6,5.6,12.2,1.4,0.2,6.0,2.4,33.4,.428,.488,.344,.500,.847,.567
34,Harrison Barnes,barneha02,2015,2020,TOT,NBA,32.7,445,438,14561,8.5,18.7,6.3,13.0,2.1,5.7,3.9,4.7,1.6,6.2,7.8,2.6,1.0,0.3,1.8,2.4,23.0,.454,.486,.379,.511,.811,.553
35,Luka Dončić,doncilu01,2019,2020,DAL,NBA,32.7,126,126,4117,12.0,27.0,8.2,15.2,3.8,11.8,8.4,11.5,1.8,10.7,12.5,10.6,1.6,0.4,5.6,3.2,36.2,.443,.537,.322,.514,.733,.564
36,Kawhi Leonard,leonaka01,2015,2020,TOT,NBA,32.7,330,330,10780,12.3,25.3,9.7,18.4,2.6,6.9,7.7,8.9,1.8,8.5,10.3,5.0,2.9,1.1,2.9,2.7,35.0,.487,.527,.382,.539,.863,.599
37,Chris Paul,paulch01,2015,2020,TOT,NBA,32.6,396,396,12905,9.7,20.8,6.8,13.1,2.9,7.7,5.5,6.1,0.9,6.4,7.2,13.5,2.8,0.3,3.7,3.7,27.8,.467,.519,.380,.538,.896,.593
38,Marc Gasol,gasolma01,2015,2020,TOT,NBA,32.5,395,387,12843,9.1,20.1,7.7,16.1,1.5,4.0,5.3,6.5,1.7,9.8,11.5,6.4,1.4,2.1,3.4,4.0,25.0,.455,.478,.365,.492,.809,.545
39,Lonzo Ball,balllo01,2018,2020,TOT,NBA,32.4,155,142,5020,6.0,15.4,3.2,7.1,2.8,8.3,0.8,1.7,1.7,7.2,9.0,9.6,2.2,0.9,3.8,3.2,15.8,.393,.450,.343,.485,.484,.488
40,Nicolas Batum,batumni01,2015,2020,TOT,NBA,32.4,379,357,12285,6.3,15.2,3.9,8.1,2.4,7.0,2.8,3.3,1.3,7.3,8.6,7.5,1.5,0.8,3.2,2.4,17.8,.416,.478,.344,.496,.852,.536
41,CJ McCollum,mccolcj01,2015,2020,POR,NBA,32.4,435,376,14076,11.5,25.2,8.1,16.7,3.4,8.5,3.5,4.2,1.0,4.3,5.2,5.0,1.4,0.6,2.8,3.4,29.8,.456,.485,.398,.523,.832,.552
42,Collin Sexton,sextoco01,2019,2020,CLE,NBA,32.3,147,137,4748,10.7,23.8,8.5,18.0,2.2,5.7,4.6,5.4,1.2,3.3,4.6,4.5,1.1,0.1,3.6,3.4,28.2,.450,.469,.392,.497,.843,.539
43,Andre Drummond,drumman01,2015,2020,TOT,NBA,32.2,458,457,14728,10.1,19.3,10.1,18.9,0.0,0.3,3.9,8.2,7.7,15.4,23.0,2.4,2.3,2.4,3.4,5.1,24.2,.526,.533,.141,.528,.473,.529
44,Draymond Green,greendr01,2015,2020,GSW,NBA,32.2,415,415,13343,5.8,13.0,4.2,7.9,1.6,5.1,2.8,3.9,1.8,10.1,11.9,9.6,2.3,1.8,3.8,4.3,16.0,.447,.526,.323,.510,.709,.544
45,Brandon Ingram,ingrabr01,2017,2020,TOT,NBA,32.2,246,207,7933,8.8,19.0,7.2,14.6,1.6,4.4,4.8,6.7,1.2,6.2,7.4,4.7,1.1,0.9,3.4,3.8,23.9,.460,.492,.357,.502,.720,.544
46,Mike Conley,conlemi01,2015,2020,TOT,NBA,32.0,318,311,10164,9.5,21.9,6.5,13.7,3.1,8.2,6.1,7.2,0.8,4.3,5.1,9.2,1.9,0.4,3.1,3.0,28.2,.436,.471,.378,.507,.843,.564
47,De'Andre Hunter,huntede01,2020,2020,ATL,NBA,32.0,63,62,2018,6.5,15.8,4.0,8.8,2.5,7.0,2.5,3.3,1.0,5.6,6.6,2.6,1.0,0.4,2.4,4.2,18.0,.410,.454,.355,.489,.764,.521
