Player,Pos,Tm,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
DeAndre Jordan,C,BRK,7.2,10.6,7.2,10.6,0,0,4,8,6,15.8,21.8,2.3,1,2.5,2.5,4.1,18.4,0.682,0.683,0.143,0.682,0.501,0.654
Cory Joseph,PG,SAC,6.2,14.1,5,10.6,1.2,3.5,2.1,2.8,1.1,4.9,6,6.7,1.8,0.5,2.3,3.4,15.7,0.441,0.475,0.335,0.482,0.757,0.512
Kyle Kuzma,PF,LAL,9.5,21.2,6.7,12.7,2.8,8.5,3.4,4.6,1.5,7.1,8.7,3,0.9,0.6,2.8,3.4,25.2,0.449,0.531,0.327,0.515,0.733,0.542
Zach LaVine,SG,CHI,10.3,23,7.3,15.1,3,7.9,5,6.1,0.7,5.1,5.8,5.8,1.5,0.4,4.1,3.6,28.5,0.447,0.484,0.375,0.511,0.819,0.555
Kawhi Leonard,SF,LAC,12.3,25.3,9.7,18.4,2.6,6.9,7.7,8.9,1.8,8.5,10.3,5,2.9,1.1,2.9,2.7,35,0.487,0.527,0.382,0.539,0.863,0.599
Caris LeVert,SG,BRK,8.6,19.9,6.2,13,2.4,7,3.6,5.1,1.4,5.5,6.9,6.5,2,0.5,3.4,3.6,23.2,0.43,0.478,0.342,0.49,0.711,0.522
Damian Lillard,PG,POR,11.5,26.2,7.4,15,4.1,11.2,8.1,9,0.9,5.3,6.2,9.1,1.4,0.5,3.9,2.6,35.1,0.439,0.492,0.369,0.518,0.896,0.584
Brook Lopez,C,MIL,10.2,21.2,8.1,15.3,2,5.9,4.5,5.6,2.7,6.9,9.6,2.7,1,3.1,2.7,4.4,26.8,0.479,0.534,0.339,0.527,0.796,0.566
Kevin Love,PF,CLE,9.1,21,5.5,11.3,3.6,9.7,6,7.1,2.9,13.3,16.2,3.7,1.1,0.7,3,3.2,27.8,0.433,0.482,0.375,0.519,0.848,0.576
Kyle Lowry,PG,TOR,8.4,19.7,4.6,9.5,3.8,10.2,5.6,6.8,1,5.9,7,10.2,2.1,0.5,3.9,4,26.3,0.427,0.482,0.376,0.524,0.828,0.579
Lauri Markkanen,PF,CHI,9,21,5.5,11.2,3.5,9.8,4.1,4.8,2,10.1,12.1,2.1,1.1,0.9,2.3,3,25.6,0.43,0.495,0.356,0.513,0.848,0.555
Wesley Matthews,SG,MIL,6.7,16.4,3,6.6,3.6,9.8,2.5,3.1,0.6,4.2,4.8,3.6,1.5,0.3,1.8,3.3,19.5,0.405,0.455,0.371,0.516,0.808,0.547
CJ McCollum,SG,POR,11.5,25.2,8.1,16.7,3.4,8.5,3.5,4.2,1,4.3,5.2,5,1.4,0.6,2.8,3.4,29.8,0.456,0.485,0.398,0.523,0.832,0.552
Khris Middleton,SF,MIL,9.7,21,6.8,13.8,2.8,7.2,4.5,5.1,0.9,6.6,7.5,5.6,2,0.3,3.1,3.8,26.7,0.461,0.497,0.391,0.528,0.876,0.573
Paul Millsap,PF,DEN,9,19.3,7.4,14.6,1.6,4.6,5.5,7.3,3.3,9,12.3,4.6,2.3,1.7,3.2,4.5,25.1,0.468,0.507,0.347,0.51,0.755,0.56
Donovan Mitchell,SG,UTA,12,27.3,8.5,17.4,3.5,9.9,5.3,6.5,1,4.8,5.9,5.8,1.9,0.5,4,3.8,32.8,0.44,0.489,0.355,0.504,0.821,0.545
Ja Morant,PG,MEM,10.4,21.1,9,17.4,1.3,3.7,5.4,7,1.2,4.3,5.5,10.8,1.4,0.4,5,2.4,27.4,0.491,0.517,0.367,0.523,0.77,0.568
Marcus Morris,SF-PF,TOT,8.3,19.2,5.5,11.7,2.7,7.5,3.4,4.3,1.6,6.9,8.5,2.9,1.2,0.5,2.1,3.8,22.7,0.432,0.474,0.367,0.504,0.779,0.538
Markieff Morris,PF,TOT,8.7,19.3,6.9,14.2,1.8,5.2,3.2,4,2.1,7.9,10,3.3,1.6,0.9,3.1,5.4,22.5,0.452,0.49,0.348,0.499,0.787,0.532
Mychal Mulder,SG,GSW,6.1,15.7,2.3,3.5,3.8,12.2,2.1,2.8,0.7,4.7,5.4,1.9,0.5,0.2,1.2,4.7,18.1,0.388,0.667,0.308,0.507,0.75,0.533
Jamal Murray,PG,DEN,9.6,21.9,6.5,13.3,3.1,8.6,3.9,4.4,1.3,4.7,6,6.2,1.5,0.5,3.3,3.1,26.2,0.439,0.491,0.358,0.509,0.882,0.55
Kendrick Nunn,SG,MIA,10.1,22.5,6.6,12.9,3.5,9.6,2,2.4,0.5,3.9,4.5,5.6,1.4,0.3,2.7,3.8,25.7,0.448,0.512,0.362,0.525,0.837,0.545
Josh Okogie,SG,MIN,5.2,12.9,3.8,7.7,1.4,5.3,3.9,5,1.8,5.1,6.9,2.7,2.2,0.8,2.1,4.4,15.8,0.404,0.493,0.274,0.46,0.765,0.52
Victor Oladipo,SG,IND,10.1,22.6,7.6,15.5,2.5,7.1,4.5,5.7,0.9,6,7,5.8,2.5,0.7,3.6,3.5,27.2,0.445,0.488,0.353,0.501,0.796,0.541
Cedi Osman,SF,CLE,7,16,4.2,8.4,2.8,7.7,2.3,3.1,1,5.9,6.9,3.8,1.3,0.3,2.3,4.2,19.1,0.437,0.503,0.364,0.524,0.717,0.547
Kelly Oubre Jr.,SF,PHO,7.8,18,5.3,10.6,2.4,7.4,3.9,5,1.6,6.7,8.4,1.9,1.8,0.9,2.1,5.2,21.9,0.431,0.503,0.329,0.499,0.778,0.541
Jabari Parker,PF,TOT,10.3,21,9.1,17.2,1.2,3.8,3.7,5,2.6,7.2,9.8,3.5,1.6,0.7,3.1,3.6,25.5,0.492,0.528,0.324,0.521,0.739,0.551
Eric Paschall,PF,GSW,9.2,18.5,8.1,14.8,1.1,3.7,4.7,6.1,2.4,5.6,8,3.7,0.9,0.4,2.7,3.6,24.2,0.497,0.55,0.287,0.526,0.774,0.571
Chris Paul,PG,OKC,9.7,20.8,6.8,13.1,2.9,7.7,5.5,6.1,0.9,6.4,7.2,13.5,2.8,0.3,3.7,3.7,27.8,0.467,0.519,0.38,0.538,0.896,0.593
Elfrid Payton,PG,NYK,7.6,16.8,6.9,14.5,0.7,2.4,2.6,4.1,1.9,5.5,7.4,11.2,2.2,0.6,4.1,3.7,18.5,0.452,0.479,0.289,0.473,0.625,0.496
Otto Porter,SF,CHI,7.9,16.4,5.4,10.2,2.5,6.1,2.1,2.6,2.1,7,9.1,2.8,2.2,0.8,1.5,3.4,20.5,0.485,0.531,0.407,0.561,0.791,0.584
Kristaps Porziņģis,PF,DAL,10.5,24.2,7.7,16.4,2.8,7.8,5.4,6.7,2.7,9.5,12.2,2.3,1.2,3.3,2.8,5.1,29.1,0.433,0.469,0.357,0.49,0.798,0.536
Julius Randle,PF,NYK,10.1,20.4,9.3,17.9,0.7,2.5,5.8,8,3.6,11.3,14.9,4.6,1.1,0.8,4.1,5.3,26.7,0.493,0.521,0.295,0.511,0.724,0.557
Cam Reddish,SF,ATL,6.4,16.6,3.9,9.1,2.5,7.5,3,3.8,1.1,5.4,6.5,2.6,1.9,0.8,2.9,4,18.3,0.384,0.428,0.332,0.459,0.802,0.5
J.J. Redick,SG,NOP,9.2,20,4.6,9.3,4.6,10.7,4.3,4.8,0.3,3.5,3.8,3.4,0.9,0.2,2.1,2.8,27.3,0.459,0.489,0.432,0.574,0.896,0.616
Josh Richardson,SG,PHI,7.4,17.3,4.8,10.1,2.6,7.1,2.8,3.4,1.1,4.1,5.2,4.7,1.8,1.1,2.3,4,20,0.426,0.471,0.362,0.501,0.814,0.534
Austin Rivers,SG,HOU,7,16.5,4.5,9.4,2.5,7.1,2.4,3.6,0.7,3.5,4.1,4.5,1.4,0.4,2.1,4.4,18.9,0.424,0.482,0.349,0.5,0.654,0.521
Duncan Robinson,SF,MIA,7,15.3,1.2,1.9,5.9,13.4,1.2,1.4,0.3,5.1,5.4,2.2,0.9,0.3,1.5,4.4,21.2,0.461,0.63,0.438,0.653,0.881,0.666
Rajon Rondo,PG,LAL,6.5,15.1,5.2,11.3,1.3,3.7,1,1.9,1.4,7,8.4,13.8,2.3,0.2,4.8,3.5,15.4,0.432,0.46,0.349,0.476,0.556,0.484
Derrick Rose,PG,DET,11.6,25.7,10.3,21.2,1.4,4.5,4.6,5.4,1.2,4,5.2,7.8,1.1,0.4,4.1,2,29.2,0.452,0.485,0.297,0.478,0.843,0.519
