Player,Pos,Tm,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
P.J. Washington,PF,CHO,7.6,16.8,5.2,10.2,2.4,6.6,2.5,3.9,1.7,7.3,9,3.5,1.5,1.3,2.6,4.5,20.2,0.455,0.507,0.374,0.528,0.647,0.547
Russell Westbrook,PG,HOU,12.9,29.3,10.8,22.5,2.1,6.8,8.6,10.9,2.4,10.3,12.8,13.4,2.6,0.4,6.4,3.8,36.5,0.441,0.482,0.304,0.476,0.788,0.535
Coby White,SG,CHI,9,22.8,5.2,12,3.8,10.8,2.9,3.7,0.8,5.8,6.6,5,1.4,0.2,3.1,3.4,24.7,0.394,0.43,0.354,0.478,0.791,0.506
Hassan Whiteside,C,POR,10.8,18.5,10.8,18.4,0,0.1,4.2,7,6.3,15.8,22.1,1.3,1.1,4.5,3.1,4.9,25.9,0.582,0.584,0.32,0.584,0.608,0.599
Andrew Wiggins,SF-SG,TOT,10.1,22.9,8.4,17.9,1.6,5,5.5,7.5,1.7,4.3,6,3.3,1.4,0.8,2.9,3,27.3,0.441,0.471,0.332,0.477,0.732,0.522
Lou Williams,SG,LAC,10,23.8,6.8,14.6,3.3,9.2,8.9,10.3,0.8,3.7,4.5,6.9,1.6,0.4,3.8,2.3,32.3,0.421,0.463,0.355,0.49,0.866,0.569
Zion Williamson,PF,NOP,14.1,23.9,13.6,22.8,0.5,1.1,8,12.4,4.5,6.1,10.5,3.4,1.3,0.7,4.2,2.6,36.6,0.589,0.595,0.462,0.599,0.645,0.624
Justise Winslow,SF,MIA,6.3,15,4.9,10.9,1.4,4.1,2,3.2,1.8,7.7,9.5,4.8,1.7,0.7,2.7,4.3,16,0.417,0.447,0.337,0.463,0.646,0.486
Thaddeus Young,PF,CHI,8.8,17.8,7.8,14.9,1,2.9,1.7,2.7,3.3,7.1,10.4,3.3,2.5,0.7,2.5,3.6,20.4,0.496,0.526,0.342,0.524,0.622,0.535
Trae Young,PG,ATL,10.7,25.1,7.1,14.6,3.6,10.5,8.3,9.8,1,4.6,5.6,12.2,1.4,0.2,6,2.4,33.4,0.428,0.488,0.344,0.5,0.847,0.567
Cody Zeller,C,CHO,7.2,13.6,7,13,0.2,0.7,4.5,6.1,4.3,8.8,13.1,3,1.5,1.6,2.2,5.7,19.1,0.529,0.544,0.25,0.536,0.731,0.584
