Rk,Player,Ind,From,To,Tm,Lg,MPG,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
607,Alize Johnson,johnsal02,2019,2020,IND,NBA,4.4,27,0,118,4.6,12.8,4.1,12.0,0.4,0.8,3.3,5.8,4.6,10.8,15.3,1.2,0.4,1.2,1.2,5.4,12.8,.355,.345,.500,.371,.571,.417
608,Jarred Vanderbilt,vandeja01,2019,2020,TOT,NBA,4.1,28,0,115,6.0,11.5,6.0,10.7,0.0,0.9,3.4,5.1,4.3,9.4,13.7,2.1,3.8,0.9,6.4,6.0,15.4,.519,.560,.000,.519,.667,.558
609,Charlie Brown,brownch02,2020,2020,ATL,NBA,4.0,10,0,40,7.0,22.1,3.5,11.6,3.5,10.5,5.8,5.8,2.3,2.3,4.7,2.3,2.3,2.3,3.5,3.5,23.3,.316,.300,.333,.395,1.000,.472
610,Troy Caupain,caupatr01,2019,2019,ORL,NBA,4.0,4,0,16,12.2,24.5,6.1,15.3,6.1,9.2,0.0,0.0,3.1,6.1,9.2,12.2,3.1,0.0,0.0,0.0,30.6,.500,.400,.667,.625,,.625
611,Tacko Fall,fallta01,2020,2020,BOS,NBA,4.0,6,0,24,18.1,24.2,18.1,24.2,0.0,0.0,2.0,6.0,0.0,22.2,22.2,0.0,0.0,4.0,6.0,10.1,38.3,.750,.750,,.750,.333,.713
612,Devon Hall,hallde01,2020,2020,OKC,NBA,4.0,5,0,20,2.4,12.2,2.4,7.3,0.0,4.9,7.3,9.7,0.0,2.4,2.4,7.3,0.0,0.0,2.4,2.4,12.2,.200,.333,.000,.200,.750,.370
613,Zach Lofton,loftoza01,2019,2019,DET,NBA,4.0,1,0,4,0.0,12.3,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,12.3,0.0,0.0,.000,,.000,.000,,.000
614,Scott Machado,machasc01,2013,2019,TOT,NBA,4.0,10,0,40,8.4,14.5,7.2,12.1,1.2,2.4,3.6,3.6,0.0,1.2,1.2,10.9,3.6,0.0,9.7,2.4,21.7,.583,.600,.500,.625,1.000,.676
615,Malik Newman,newmama01,2020,2020,CLE,NBA,4.0,1,0,4,0.0,24.3,0.0,12.2,0.0,12.2,24.3,24.3,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,24.3,.000,.000,.000,.000,1.000,.347
616,Jordan Sibert,siberjo01,2019,2019,ATL,NBA,4.0,1,0,4,11.6,11.6,0.0,0.0,11.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,1.000,,1.000,1.500,,1.500
617,Melvin Frazier,frazime01,2019,2020,ORL,NBA,3.8,25,0,95,6.7,19.5,4.6,12.9,2.1,6.7,1.5,4.1,2.1,2.6,4.6,1.0,2.6,1.0,2.1,7.2,17.0,.342,.360,.308,.395,.375,.397
618,Stanton Kidd,kiddst01,2020,2020,UTA,NBA,3.8,4,0,15,0.0,9.8,0.0,6.5,0.0,3.3,0.0,0.0,0.0,9.8,9.8,3.3,0.0,0.0,6.5,9.8,0.0,.000,.000,.000,.000,,.000
619,Moses Brown,brownmo01,2020,2020,POR,NBA,3.7,9,0,33,5.8,14.4,5.8,14.4,0.0,0.0,4.3,11.6,4.3,15.9,20.2,1.4,1.4,1.4,4.3,10.1,15.9,.400,.400,,.400,.375,.407
620,Tyler Lydon,lydonty01,2018,2019,DEN,NBA,3.7,26,0,96,4.6,9.2,2.6,4.1,2.0,5.1,0.5,1.5,3.6,5.6,9.2,3.1,1.0,0.0,2.0,5.1,11.8,.500,.625,.400,.611,.333,.595
621,Isaiah Roby,robyis01,2020,2020,OKC,NBA,3.7,3,0,11,0.0,4.4,0.0,4.4,0.0,0.0,0.0,0.0,0.0,8.9,8.9,0.0,0.0,0.0,4.4,4.4,0.0,.000,.000,,.000,,.000
622,Thomas Welsh,welshth01,2019,2019,DEN,NBA,3.3,11,0,36,9.6,17.7,5.5,8.2,4.1,9.6,1.4,2.7,0.0,5.5,5.5,6.8,0.0,0.0,1.4,4.1,24.6,.538,.667,.429,.654,.500,.648
623,Kostas Antetokounmpo,antetko01,2019,2020,TOT,NBA,3.2,5,0,16,0.0,9.0,0.0,9.0,0.0,0.0,6.0,12.1,0.0,6.0,6.0,3.0,6.0,0.0,3.0,0.0,6.0,.000,.000,,.000,.500,.210
624,Vlatko Čančar,cancavl01,2020,2020,DEN,NBA,3.2,14,0,45,6.6,16.5,5.5,9.9,1.1,6.6,4.4,4.4,5.5,5.5,11.0,3.3,1.1,1.1,3.3,7.7,18.7,.400,.556,.167,.433,1.000,.507
625,Tyler Cook,cookty01,2020,2020,CLE,NBA,3.2,11,0,35,9.7,13.9,9.7,13.9,0.0,0.0,7.0,8.3,5.6,8.3,13.9,1.4,1.4,0.0,1.4,5.6,26.4,.700,.700,,.700,.833,.752
626,DaQuan Jeffries,jeffrda01,2020,2020,SAC,NBA,3.2,6,0,19,7.7,18.0,5.1,7.7,2.6,10.3,0.0,0.0,2.6,0.0,2.6,2.6,2.6,0.0,0.0,7.7,18.0,.429,.667,.250,.500,,.500
627,DeVaughn Akoon-Purcell,akoonde01,2019,2019,DEN,NBA,3.1,7,0,22,6.7,22.3,6.7,13.4,0.0,8.9,2.2,4.5,2.2,6.7,8.9,13.4,4.5,0.0,4.5,8.9,15.6,.300,.500,.000,.300,.500,.322
628,Nigel Williams-Goss,willini01,2020,2020,UTA,NBA,3.1,9,0,28,1.7,12.2,1.7,8.7,0.0,3.5,3.5,3.5,3.5,5.2,8.7,8.7,1.7,1.7,3.5,3.5,7.0,.143,.200,.000,.143,1.000,.254
629,Marques Bolden,boldema01,2020,2020,CLE,NBA,3.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,32.4,0.0,16.2,0.0,0.0,16.2,0.0,,,,,,
630,Max Strus,strusma01,2020,2020,CHI,NBA,3.0,2,0,6,16.1,24.1,16.1,16.1,0.0,8.0,8.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,40.1,.667,1.000,.000,.667,1.000,.727
631,Dewan Hernandez,hernade01,2020,2020,TOR,NBA,2.8,4,0,11,4.3,21.7,4.3,17.4,0.0,4.3,8.7,8.7,8.7,21.7,30.4,0.0,4.3,0.0,4.3,26.0,17.4,.200,.250,.000,.200,1.000,.340
632,Shamorie Ponds,pondssh01,2020,2020,TOR,NBA,2.8,4,0,11,13.0,21.7,8.7,13.0,4.3,8.7,8.7,8.7,0.0,4.3,4.3,8.7,0.0,4.3,0.0,8.7,39.0,.600,.667,.500,.700,1.000,.765
633,Jared Harper,harpeja01,2020,2020,PHO,NBA,2.7,3,0,8,5.9,23.7,5.9,11.8,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,.250,.500,.000,.250,,.250
634,Kevin Hervey,herveke01,2020,2020,OKC,NBA,2.7,7,0,19,2.6,28.2,2.6,7.7,0.0,20.5,0.0,0.0,0.0,5.1,5.1,2.6,0.0,0.0,0.0,2.6,5.1,.091,.333,.000,.091,,.091
635,Ike Anigbogu,anigbik01,2018,2019,IND,NBA,2.6,14,0,36,5.5,16.6,5.5,16.6,0.0,0.0,6.9,8.3,8.3,8.3,16.6,1.4,1.4,5.5,4.1,1.4,18.0,.333,.333,,.333,.833,.444
636,Jarrell Brantley,brantja01,2020,2020,UTA,NBA,2.6,5,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,18.8,3.8,0.0,7.5,7.5,7.5,0.0,,,,,,
637,Talen Horton-Tucker,hortota01,2020,2020,LAL,NBA,2.5,2,0,5,0.0,9.5,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,19.0,9.5,0.0,0.0,0.0,0.0,.000,,.000,.000,,.000
638,Miye Oni,onimi01,2020,2020,UTA,NBA,2.2,5,0,11,0.0,8.9,0.0,4.4,0.0,4.4,0.0,0.0,0.0,8.9,8.9,0.0,0.0,0.0,4.4,0.0,0.0,.000,.000,.000,.000,,.000
639,Trevon Duval,duvaltr01,2019,2019,MIL,NBA,2.0,3,0,6,15.5,23.2,7.7,15.5,7.7,7.7,0.0,0.0,0.0,7.7,7.7,15.5,0.0,0.0,0.0,0.0,38.7,.667,.500,1.000,.833,,.833
640,Kyle Guy,guyky01,2020,2020,SAC,NBA,2.0,2,0,4,12.2,24.4,12.2,12.2,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,.500,1.000,.000,.500,,.500
641,Justin Wright-Foreman,wrighju02,2020,2020,UTA,NBA,2.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
642,Vic Law,lawvi01,2020,2020,ORL,NBA,1.8,5,0,9,0.0,16.3,0.0,10.8,0.0,5.4,0.0,10.8,0.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,.000,.000,.000,.000,.000,.000
643,Tyler Davis,davisty01,2019,2019,OKC,NBA,1.0,1,0,1,0.0,46.7,0.0,46.7,0.0,0.0,0.0,0.0,46.7,0.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,.000,.000,,.000,,.000
644,Donte Grantham,grantdo01,2019,2019,OKC,NBA,0.7,3,0,2,0.0,46.7,0.0,0.0,0.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.000,,.000,.000,,.000
645,Josh Reaves,reavejo02,2020,2020,DAL,NBA,0.5,2,0,1,0.0,48.4,0.0,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.000,.000,,.000,,.000
