Rk,Player,From,To,Tm,Lg,MPG,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
519,PJ Dozier,2018,2020,TOT,NBA,9.9,29,0,288,10.3,.316,.114,4.1,14.1,9.1,16.6,1.5,1.6,9.1,19.8,98,110,-0.1,0.3,0.2,.033,-4.0,-0.8,-4.8,-0.2
520,Alen Smailagić,2020,2020,GSW,NBA,9.9,14,0,139,14.5,.325,.475,7.5,13.7,10.5,14.3,1.0,2.6,18.5,18.2,112,115,0.2,0.1,0.2,.081,-1.3,-0.8,-2.1,0.0
521,Jarrod Uthoff,2017,2020,TOT,NBA,9.9,13,0,129,12.4,.289,.200,7.7,13.2,10.3,11.4,1.2,2.8,5.8,18.7,102,110,0.0,0.1,0.2,.056,-2.6,-0.9,-3.5,0.0
522,Dusty Hannahs,2019,2020,MEM,NBA,9.8,4,0,39,10.1,.381,.190,0.0,5.6,2.8,19.2,1.3,0.0,4.2,26.4,93,115,0.0,0.0,0.0,-.035,-2.6,-2.8,-5.4,0.0
523,Josh Magette,2018,2020,TOT,NBA,9.8,26,0,254,10.9,.426,.164,1.3,9.7,5.4,33.8,2.1,0.7,17.6,13.6,106,111,0.1,0.2,0.3,.059,-2.9,-0.2,-3.2,-0.1
524,Tony Bradley,2018,2020,UTA,NBA,9.7,62,2,600,21.0,.011,.242,19.7,24.4,22.1,4.9,1.1,3.7,11.4,16.6,131,105,1.8,1.0,2.8,.225,0.5,0.0,0.4,0.4
525,Brandon Goodwin,2019,2020,TOT,NBA,9.7,50,1,487,11.3,.437,.192,2.6,14.1,8.3,19.6,1.1,0.7,12.2,22.5,101,116,0.0,0.2,0.1,.014,-1.9,-1.8,-3.6,-0.2
526,Boban Marjanović,2016,2020,TOT,NBA,9.7,223,19,2156,26.1,.028,.504,15.7,28.8,22.3,9.1,1.2,3.0,12.9,25.1,123,104,7.3,3.6,11.0,.244,3.2,0.0,3.1,2.8
527,Matt Thomas,2020,2020,TOR,NBA,9.7,33,0,321,13.6,.676,.090,2.4,13.2,7.9,7.9,1.2,0.0,9.4,17.0,119,108,0.5,0.4,0.9,.137,1.0,0.4,1.4,0.3
528,Mitch Creek,2019,2019,TOT,NBA,9.6,5,0,48,20.2,.125,.438,13.2,13.1,13.2,18.6,2.0,0.0,5.0,17.6,129,111,0.1,0.0,0.2,.196,2.4,1.1,3.5,0.1
529,Isaiah Hartenstein,2019,2020,HOU,NBA,9.5,51,2,487,14.8,.102,.389,10.9,19.3,15.0,9.7,1.6,4.2,18.7,13.4,122,108,0.9,0.6,1.5,.150,-2.8,1.2,-1.6,0.1
530,Georges Niang,2017,2020,TOT,NBA,9.5,149,0,1413,11.7,.621,.101,2.2,14.6,8.6,8.1,1.0,0.6,10.0,17.6,110,110,1.2,1.5,2.7,.091,-0.3,-0.3,-0.6,0.5
531,James Nunnally,2014,2019,TOT,NBA,9.5,28,0,267,6.6,.625,.163,0.4,9.7,5.0,8.0,1.3,0.6,8.5,15.2,95,113,-0.1,0.1,0.0,.000,-3.4,-1.8,-5.1,-0.2
532,Javonte Green,2020,2020,BOS,NBA,9.4,44,1,414,12.3,.235,.367,4.7,15.9,10.4,7.6,2.7,1.6,13.7,13.6,110,105,0.3,0.7,1.0,.112,-2.4,1.8,-0.6,0.1
533,Derrick Walton,2018,2020,TOT,NBA,9.4,42,1,395,9.6,.641,.234,1.1,7.6,4.4,14.2,1.7,0.6,9.0,8.4,128,110,0.6,0.4,1.0,.118,-1.9,1.7,-0.2,0.2
534,Daniel Hamilton,2018,2019,TOT,NBA,9.3,25,3,232,8.5,.394,.085,4.4,19.6,11.8,18.1,1.4,0.4,19.6,16.2,95,114,-0.1,0.1,0.0,.000,-3.1,-0.3,-3.3,-0.1
535,Davon Reed,2018,2019,TOT,NBA,9.3,31,1,289,5.3,.477,.136,1.5,15.4,8.4,7.7,1.8,0.6,10.5,15.4,83,112,-0.4,0.2,-0.2,-.039,-5.4,-0.9,-6.3,-0.3
536,Henry Ellenson,2017,2020,TOT,NBA,9.2,81,2,749,10.6,.439,.199,3.5,25.0,14.0,9.0,0.9,0.3,10.8,22.2,96,110,-0.5,0.8,0.3,.018,-2.4,-1.4,-3.8,-0.3
537,Carsen Edwards,2020,2020,BOS,NBA,9.0,35,0,316,6.5,.602,.115,2.1,12.4,7.3,9.5,1.5,0.9,11.2,18.1,92,109,-0.3,0.4,0.1,.012,-4.6,-0.3,-4.9,-0.2
538,Norvel Pelle,2020,2020,PHI,NBA,8.9,20,0,178,11.2,.000,.343,9.9,27.3,18.6,5.3,0.3,12.0,24.4,12.9,96,101,-0.1,0.4,0.3,.082,-7.1,3.1,-4.1,-0.1
539,Malachi Richardson,2017,2019,TOT,NBA,8.9,70,4,625,6.2,.497,.246,1.8,11.0,6.3,5.7,1.3,0.3,11.1,16.7,93,113,-0.4,0.3,-0.1,-.009,-4.8,-1.3,-6.1,-0.7
540,Tremont Waters,2020,2020,BOS,NBA,8.9,10,0,89,6.5,.486,.171,0.0,10.7,5.4,18.8,2.7,2.1,21.0,22.9,83,106,-0.2,0.1,-0.1,-.045,-6.6,0.1,-6.5,-0.1
541,R.J. Hunter,2016,2019,TOT,NBA,8.8,45,1,395,8.4,.667,.083,0.8,11.8,6.2,7.1,2.2,0.8,8.7,16.3,96,105,-0.1,0.5,0.4,.051,-3.0,1.0,-2.0,0.0
542,Yuta Watanabe,2019,2020,MEM,NBA,8.8,31,0,273,5.6,.300,.225,4.0,15.4,9.6,6.1,1.6,0.7,8.3,15.3,85,111,-0.4,0.3,-0.1,-.025,-5.8,-1.0,-6.8,-0.3
543,Chris Clemons,2020,2020,HOU,NBA,8.7,29,0,251,12.6,.746,.056,1.2,8.4,4.8,13.5,1.1,1.7,11.6,24.0,104,113,0.1,0.2,0.2,.046,0.4,-1.7,-1.3,0.1
544,Daryl Macon,2019,2020,TOT,NBA,8.7,12,0,104,4.4,.433,.233,2.1,10.2,6.2,11.0,0.5,0.0,19.5,17.0,88,115,-0.1,0.0,-0.1,-.041,-5.5,-2.8,-8.4,-0.2
545,Caleb Swanigan,2018,2020,TOT,NBA,8.7,75,4,655,6.8,.106,.275,9.7,25.4,17.6,11.4,1.0,1.4,28.9,16.5,88,109,-0.9,0.7,-0.2,-.014,-6.6,0.4,-6.2,-0.7
546,T.J. Leaf,2018,2020,IND,NBA,8.6,136,2,1174,14.0,.224,.152,8.9,16.7,12.9,4.8,0.9,2.0,6.5,16.6,114,109,1.4,1.3,2.7,.112,-0.7,-0.9,-1.6,0.1
547,Goga Bitadze,2020,2020,IND,NBA,8.4,49,2,410,12.2,.279,.256,6.0,19.8,12.9,7.1,0.7,6.9,14.8,18.1,100,106,-0.1,0.7,0.6,.069,-4.0,1.5,-2.5,0.0
548,Michael Frazier,2020,2020,HOU,NBA,8.3,8,0,66,2.4,.727,.545,1.6,3.2,2.4,1.9,1.4,0.0,12.8,9.8,99,115,0.0,0.0,0.0,.016,-7.9,-0.9,-8.8,-0.1
549,Joe Chealey,2019,2020,CHO,NBA,8.2,5,0,41,-1.9,.400,.200,0.0,0.0,0.0,6.6,4.9,0.0,15.5,13.8,43,111,-0.2,0.0,-0.1,-.168,-13.2,0.2,-13.0,-0.1
550,Zach Norvell,2020,2020,TOT,NBA,8.2,5,0,41,2.6,.667,.083,0.0,16.3,7.9,10.2,2.3,0.0,19.4,16.1,74,112,-0.1,0.0,-0.1,-.084,-7.1,-1.2,-8.3,-0.1
551,Johnathan Motley,2018,2020,TOT,NBA,8.1,46,4,373,19.1,.061,.460,10.2,21.8,15.9,11.8,1.4,1.1,13.3,26.4,109,109,0.4,0.4,0.9,.111,-0.6,-0.9,-1.4,0.0
552,Vince Edwards,2019,2019,HOU,NBA,8.0,2,0,16,3.8,1.000,.000,6.8,7.1,6.9,0.0,0.0,0.0,0.0,10.9,95,118,0.0,0.0,0.0,-.014,-1.6,-4.8,-6.4,0.0
553,Haywood Highsmith,2019,2019,PHI,NBA,8.0,5,0,40,4.5,.500,.200,0.0,12.9,6.6,6.6,1.2,0.0,8.4,12.4,83,113,0.0,0.0,0.0,-.023,-5.8,-2.4,-8.2,-0.1
554,Tahjere McCall,2019,2019,BRK,NBA,8.0,1,0,8,9.6,.333,.333,0.0,13.1,6.6,0.0,0.0,0.0,0.0,18.1,108,114,0.0,0.0,0.0,.055,-6.0,-0.6,-6.6,0.0
555,Deonte Burton,2019,2020,OKC,NBA,7.9,66,0,524,6.4,.390,.128,2.1,13.5,7.8,5.3,1.0,2.9,10.4,17.9,88,109,-0.7,0.6,-0.1,-.013,-5.2,0.1,-5.1,-0.4
556,Jaylen Hoard,2020,2020,POR,NBA,7.9,13,0,103,14.9,.094,.406,14.3,17.8,16.1,5.4,2.3,0.0,9.6,17.2,113,112,0.1,0.1,0.2,.096,-0.9,-1.1,-1.9,0.0
557,Jared Terrell,2019,2019,MIN,NBA,7.9,14,0,111,0.7,.436,.154,1.0,4.9,2.9,14.4,1.3,1.5,19.4,19.6,74,117,-0.4,0.0,-0.3,-.140,-8.5,-2.3,-10.9,-0.2
558,Terance Mann,2020,2020,LAC,NBA,7.7,35,6,271,7.1,.222,.222,1.6,10.8,6.3,17.9,1.4,1.6,19.1,11.2,101,109,0.0,0.3,0.3,.057,-4.7,1.2,-3.5,-0.1
559,Emanuel Terry,2019,2019,TOT,NBA,7.7,3,0,23,19.7,.000,.571,14.1,19.6,16.8,12.2,6.2,0.0,18.6,20.1,107,104,0.0,0.0,0.1,.117,-0.2,2.4,2.3,0.0
560,Amir Coffey,2020,2020,LAC,NBA,7.5,13,0,98,5.9,.212,.091,4.3,10.3,7.4,12.6,0.5,0.9,8.0,15.8,94,112,-0.1,0.1,0.0,.009,-5.7,-1.1,-6.8,-0.1
561,Ángel Delgado,2019,2019,LAC,NBA,7.5,2,0,15,4.3,.000,.400,14.6,13.7,14.1,0.0,3.1,0.0,0.0,16.5,78,109,0.0,0.0,0.0,-.055,-7.0,-5.0,-12.0,0.0
562,Wenyen Gabriel,2020,2020,TOT,NBA,7.5,28,1,210,9.6,.435,.435,9.1,14.0,11.6,5.0,2.3,2.5,22.6,14.5,101,111,0.0,0.2,0.2,.043,-3.9,0.0,-3.9,-0.1
563,Chris Silva,2020,2020,MIA,NBA,7.5,41,0,307,17.2,.029,.710,20.6,19.3,19.9,10.2,1.4,5.8,25.5,17.5,120,106,0.7,0.5,1.1,.178,-3.4,0.9,-2.5,0.0
564,Khyri Thomas,2019,2020,DET,NBA,7.5,34,0,256,5.4,.570,.174,2.1,7.1,4.5,6.1,1.9,1.7,7.0,16.8,90,111,-0.3,0.3,0.0,-.005,-5.2,-0.5,-5.7,-0.2
565,Oshae Brissett,2020,2020,TOR,NBA,7.1,19,0,135,6.7,.417,.278,7.2,13.0,10.2,7.0,1.4,0.7,14.8,15.0,96,107,-0.1,0.2,0.1,.042,-5.7,0.3,-5.4,-0.1
566,Naz Mitrou-Long,2018,2020,TOT,NBA,7.1,18,0,128,5.9,.622,.054,0.9,9.3,5.1,22.7,0.8,1.3,20.9,16.2,90,111,-0.1,0.1,0.0,-.004,-3.7,0.1,-3.6,-0.1
567,John Holland,2018,2019,CLE,NBA,7.0,25,0,175,5.9,.610,.220,3.9,11.4,7.7,3.9,2.0,1.0,11.0,18.4,84,112,-0.3,0.1,-0.2,-.050,-3.6,-1.9,-5.5,-0.2
568,Gabe Vincent,2020,2020,MIA,NBA,7.0,6,0,42,1.2,.842,.000,0.0,7.7,4.0,9.9,1.2,0.0,0.0,20.0,75,114,-0.1,0.0,-0.1,-.105,-6.7,-2.9,-9.6,-0.1
569,Drew Eubanks,2019,2020,SAS,NBA,6.6,37,3,243,15.2,.019,.444,6.3,24.4,15.4,6.8,0.8,3.9,21.8,14.9,118,110,0.3,0.3,0.6,.120,-2.3,-0.2,-2.5,0.0
570,Zhou Qi,2018,2019,HOU,NBA,6.6,19,0,125,2.5,.576,.364,5.5,14.3,9.9,2.1,0.8,9.5,20.7,17.0,64,103,-0.5,0.2,-0.2,-.093,-9.9,0.3,-9.6,-0.2
571,Guerschon Yabusele,2018,2019,BOS,NBA,6.6,74,5,486,12.4,.471,.319,8.9,14.4,11.7,9.0,1.2,2.1,14.6,16.6,109,107,0.4,0.7,1.1,.105,-2.0,0.0,-1.9,0.0
572,William Howard,2020,2020,HOU,NBA,6.5,2,0,13,-12.7,1.000,.000,0.0,16.2,8.1,9.0,0.0,0.0,20.0,15.9,14,115,-0.1,0.0,-0.1,-.354,-14.9,-5.7,-20.7,-0.1
573,Jalen Lecque,2020,2020,PHO,NBA,6.5,4,0,26,5.0,.400,.200,0.0,0.0,0.0,11.1,0.0,0.0,8.4,19.4,94,120,0.0,0.0,0.0,-.042,-5.7,-3.6,-9.3,0.0
574,Yante Maten,2019,2019,MIA,NBA,6.5,2,0,13,5.7,.250,.000,8.2,16.4,12.3,0.0,3.8,0.0,0.0,13.2,70,104,0.0,0.0,0.0,-.026,-7.5,-1.6,-9.2,0.0
575,Justin James,2020,2020,SAC,NBA,6.4,34,0,218,11.5,.333,.269,3.0,12.7,7.8,10.8,1.3,3.9,8.4,19.0,100,111,0.0,0.2,0.2,.037,-1.0,0.2,-0.7,0.1
576,Malcolm Miller,2018,2020,TOR,NBA,6.4,50,5,318,8.3,.782,.179,2.1,9.3,5.8,4.9,0.9,1.4,9.7,12.7,109,110,0.2,0.3,0.5,.076,-1.7,0.1,-1.6,0.0
577,Antonius Cleveland,2018,2020,TOT,NBA,6.3,23,0,145,4.3,.185,.296,2.2,10.8,6.5,1.9,2.7,3.6,20.8,11.8,76,107,-0.2,0.2,0.0,-.016,-7.8,2.2,-5.7,-0.1
578,B.J. Johnson,2019,2020,TOT,NBA,6.3,15,0,95,7.8,.361,.111,3.3,12.6,7.8,3.0,2.0,0.0,11.7,18.9,89,113,-0.1,0.1,-0.1,-.030,-4.7,-2.2,-6.9,-0.1
579,Louis King,2020,2020,DET,NBA,6.2,10,0,62,6.3,.524,.143,1.8,16.7,9.2,11.8,1.6,0.0,8.2,17.1,93,113,-0.1,0.0,0.0,-.007,-5.1,-1.1,-6.2,-0.1
580,Marcus Derrickson,2019,2019,GSW,NBA,6.1,11,0,67,19.4,.606,.152,13.3,7.6,10.4,2.2,0.0,1.3,7.9,24.4,123,116,0.2,0.0,0.2,.155,2.6,-5.3,-2.7,0.0
581,George King,2019,2019,PHO,NBA,6.0,1,0,6,1.9,,,0.0,18.8,9.2,0.0,0.0,0.0,,0.0,,119,0.0,0.0,0.0,-.001,-5.8,-2.1,-7.9,0.0
582,Kalin Lucas,2015,2019,TOT,NBA,6.0,2,0,12,8.0,.500,1.000,0.0,28.4,13.7,10.4,4.3,0.0,0.0,10.6,98,99,0.0,0.0,0.0,.091,-9.5,7.6,-1.9,0.0
583,J.P. Macura,2019,2020,TOT,NBA,6.0,3,0,18,5.4,.444,.000,0.0,18.3,9.0,17.0,0.0,0.0,0.0,21.6,81,117,0.0,0.0,0.0,-.105,-4.8,-2.8,-7.6,0.0
584,Ignas Brazdeikis,2020,2020,NYK,NBA,5.9,9,0,53,3.3,.409,.227,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,82,119,-0.1,0.0,-0.1,-.109,-5.0,-3.9,-8.9,-0.1
585,Dean Wade,2020,2020,CLE,NBA,5.9,12,0,71,13.9,.308,.077,4.6,25.3,14.9,4.0,1.4,4.8,18.2,9.9,122,111,0.1,0.1,0.2,.104,-1.7,0.5,-1.2,0.0
586,Brian Bowen,2020,2020,IND,NBA,5.8,5,1,29,-2.0,.222,.000,3.8,22.7,13.3,0.0,0.0,3.0,10.0,15.2,50,109,-0.1,0.0,-0.1,-.154,-9.7,-2.1,-11.8,-0.1
587,Rayjon Tucker,2020,2020,UTA,NBA,5.6,14,0,78,4.5,.316,.263,2.9,14.8,9.1,3.5,0.6,0.0,12.4,13.6,88,112,-0.1,0.1,0.0,-.009,-6.7,-1.2,-7.9,-0.1
588,D.J. Stephens,2014,2019,TOT,NBA,5.5,4,0,22,12.7,.000,.111,5.0,21.5,13.0,0.0,2.3,0.0,9.6,21.4,92,108,0.0,0.0,0.0,.008,-0.8,0.2,-0.6,0.0
589,Justin Patton,2018,2020,TOT,NBA,5.4,9,0,49,8.4,.316,.105,6.8,17.2,12.1,14.1,2.9,0.0,9.1,19.4,92,107,-0.1,0.1,0.0,.014,-5.8,0.2,-5.6,0.0
590,Vincent Poirier,2020,2020,BOS,NBA,5.4,21,0,114,12.8,.061,.212,9.5,22.4,16.0,8.6,0.8,4.9,14.3,15.8,111,105,0.1,0.2,0.3,.124,-4.5,0.7,-3.8,-0.1
591,Justin Robinson,2020,2020,WAS,NBA,5.4,9,0,49,8.2,.417,.000,2.2,9.3,5.6,18.6,0.0,1.8,20.0,12.7,105,121,0.0,0.0,0.0,.006,-2.6,-3.1,-5.7,0.0
592,Jordan Bone,2020,2020,DET,NBA,5.3,10,0,53,0.8,.500,.000,0.0,8.7,4.3,21.0,0.9,0.0,9.1,18.1,76,117,-0.1,0.0,-0.1,-.118,-9.0,-2.9,-11.9,-0.1
593,Mfiondu Kabengele,2020,2020,LAC,NBA,5.3,12,0,64,18.2,.625,.156,1.7,15.7,8.9,4.9,1.5,2.7,5.5,23.5,119,106,0.1,0.1,0.2,.175,2.2,-0.1,2.1,0.1
594,Jeremiah Martin,2020,2020,BRK,NBA,5.3,3,0,16,5.9,.200,.000,0.0,12.6,6.4,16.5,3.0,5.2,0.0,13.1,66,104,0.0,0.0,0.0,-.040,-6.6,3.6,-3.0,0.0
595,Demetrius Jackson,2017,2019,TOT,NBA,5.2,26,0,136,13.0,.378,.324,7.4,8.1,7.8,18.5,2.5,0.6,20.6,17.0,107,108,0.1,0.2,0.2,.087,-1.3,0.8,-0.5,0.1
596,KZ Okpala,2020,2020,MIA,NBA,5.2,5,0,26,13.7,.200,.400,4.5,16.6,10.8,5.5,3.8,3.8,14.5,11.7,110,103,0.0,0.0,0.1,.119,-1.2,4.0,2.7,0.0
597,Thanasis Antetokounmpo,2016,2020,TOT,NBA,5.0,20,2,99,15.3,.200,.375,11.7,8.6,10.0,13.0,2.8,1.8,19.1,24.2,101,101,0.0,0.2,0.2,.095,-3.5,1.7,-1.8,0.0
598,Tariq Owens,2020,2020,PHO,NBA,5.0,3,0,15,8.4,.400,.400,14.5,7.6,11.1,0.0,3.2,0.0,0.0,16.7,95,111,0.0,0.0,0.0,.017,-3.1,-2.8,-5.9,0.0
599,Marial Shayok,2020,2020,PHI,NBA,5.0,2,0,10,-2.0,.600,.000,0.0,33.1,16.6,13.4,0.0,0.0,16.7,25.9,61,110,-0.1,0.0,0.0,-.227,-8.7,-2.6,-11.3,0.0
600,Paul Watson,2020,2020,TOT,NBA,5.0,5,0,25,-0.5,.500,.250,0.0,17.0,8.5,23.9,1.9,3.9,0.0,14.8,46,110,-0.1,0.0,-0.1,-.181,-8.0,0.8,-7.3,0.0
601,Quinndary Weatherspoon,2020,2020,SAS,NBA,5.0,3,0,15,-5.1,.333,.000,0.0,7.2,3.6,7.7,0.0,0.0,0.0,8.7,21,121,-0.1,0.0,-0.1,-.197,-9.1,-6.0,-15.1,-0.1
602,Chimezie Metu,2019,2020,SAS,NBA,4.8,45,0,218,12.8,.032,.269,9.5,21.3,15.4,12.7,1.6,2.4,16.1,24.9,93,110,-0.3,0.2,-0.1,-.012,-3.6,-1.2,-4.8,-0.2
603,Matt Mooney,2020,2020,CLE,NBA,4.8,4,0,19,8.1,.500,.000,0.0,17.7,8.8,6.7,5.1,4.5,0.0,9.0,69,104,0.0,0.0,0.0,.006,-5.3,5.0,-0.3,0.0
604,Amile Jefferson,2019,2020,ORL,NBA,4.7,30,0,142,14.7,.000,.733,11.8,21.7,16.6,6.8,1.4,3.7,9.2,13.3,117,106,0.2,0.2,0.4,.136,-2.3,0.4,-1.9,0.0
605,Jordan Loyd,2019,2019,TOR,NBA,4.6,12,0,55,16.3,.444,.611,2.0,15.3,8.8,15.1,0.0,0.0,8.1,19.4,130,112,0.2,0.0,0.2,.190,0.0,-0.9,-1.0,0.0
606,Juwan Morgan,2020,2020,UTA,NBA,4.6,16,0,74,8.8,.294,.000,7.8,19.8,14.1,3.8,0.0,1.1,15.0,11.9,108,111,0.0,0.1,0.1,.066,-2.9,-0.4,-3.3,0.0
607,Alize Johnson,2019,2020,IND,NBA,4.4,27,0,118,8.4,.065,.452,10.4,24.0,17.3,3.3,0.4,2.3,7.5,14.9,97,108,0.0,0.2,0.1,.047,-4.6,-1.8,-6.4,-0.1
608,Jarred Vanderbilt,2019,2020,TOT,NBA,4.1,28,0,115,10.5,.074,.444,9.5,20.9,15.2,5.9,3.9,1.6,31.7,17.6,87,103,-0.2,0.2,0.0,.014,-5.7,0.8,-4.9,-0.1
609,Charlie Brown,2020,2020,ATL,NBA,4.0,10,0,40,11.1,.474,.263,5.3,5.5,5.4,7.3,2.3,4.2,12.4,25.1,93,114,0.0,0.0,0.0,-.028,-1.1,-1.4,-2.5,0.0
610,Troy Caupain,2019,2019,ORL,NBA,4.0,4,0,16,30.7,.375,.000,6.6,13.6,10.0,42.5,3.1,0.0,0.0,21.8,144,107,0.1,0.0,0.1,.347,9.6,3.7,13.3,0.1
611,Tacko Fall,2020,2020,BOS,NBA,4.0,6,0,24,23.9,.000,.250,0.0,48.7,24.6,0.0,0.0,7.7,18.4,29.0,98,98,0.0,0.1,0.1,.102,-2.0,3.1,1.0,0.0
612,Devon Hall,2020,2020,OKC,NBA,4.0,5,0,20,3.6,.400,.800,0.0,5.4,2.8,19.1,0.0,0.0,12.9,17.1,86,117,0.0,0.0,0.0,-.064,-6.2,-3.6,-9.7,0.0
613,Zach Lofton,2019,2019,DET,NBA,4.0,1,0,4,-10.0,1.000,.000,0.0,0.0,0.0,0.0,12.3,0.0,50.0,21.6,0,90,-0.1,0.0,0.0,-.447,-17.4,6.0,-11.5,0.0
614,Scott Machado,2013,2019,TOT,NBA,4.0,10,0,40,13.7,.167,.250,0.0,2.8,1.4,34.4,3.7,0.0,37.5,22.9,95,108,0.0,0.0,0.0,.013,-1.7,-0.3,-2.0,0.0
615,Malik Newman,2020,2020,CLE,NBA,4.0,1,0,4,-11.3,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,25.8,41.5,58,123,0.0,0.0,0.0,-.503,-14.5,-11.3,-25.9,0.0
616,Jordan Sibert,2019,2019,ATL,NBA,4.0,1,0,4,29.7,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,300,123,0.0,0.0,0.0,.183,13.7,2.2,16.0,0.0
617,Melvin Frazier,2019,2020,ORL,NBA,3.8,25,0,95,4.6,.342,.211,4.4,5.8,5.1,3.1,2.6,1.9,8.8,20.8,80,109,-0.2,0.1,-0.1,-.060,-8.4,-0.7,-9.1,-0.2
618,Stanton Kidd,2020,2020,UTA,NBA,3.8,4,0,15,-13.7,.333,.000,0.0,21.0,11.0,8.0,0.0,0.0,40.0,14.6,13,112,-0.1,0.0,-0.1,-.327,-15.6,-1.3,-16.9,-0.1
619,Moses Brown,2020,2020,POR,NBA,3.7,9,0,33,6.7,.000,.800,9.6,34.0,22.0,4.1,1.4,2.6,18.2,21.2,81,107,-0.1,0.0,0.0,-.062,-8.2,-1.7,-9.9,-0.1
620,Tyler Lydon,2018,2019,DEN,NBA,3.7,26,0,96,9.1,.556,.167,7.9,12.5,10.2,8.1,1.0,0.0,17.2,10.4,116,112,0.1,0.1,0.2,.084,-2.8,-1.4,-4.3,-0.1
621,Isaiah Roby,2020,2020,OKC,NBA,3.7,3,0,11,-7.7,.000,.000,0.0,19.5,10.1,0.0,0.0,0.0,50.0,8.0,0,113,-0.1,0.0,0.0,-.191,-12.0,-3.5,-15.5,0.0
622,Thomas Welsh,2019,2019,DEN,NBA,3.3,11,0,36,16.1,.538,.154,0.0,12.1,6.0,20.5,0.0,0.0,6.7,17.7,130,115,0.1,0.0,0.1,.162,2.2,-1.1,1.2,0.0
623,Kostas Antetokounmpo,2019,2020,TOT,NBA,3.2,5,0,16,2.1,.000,1.333,0.0,13.3,6.7,7.0,6.1,0.0,17.4,15.5,48,101,-0.1,0.0,0.0,-.127,-8.3,0.9,-7.4,0.0
624,Vlatko Čančar,2020,2020,DEN,NBA,3.2,14,0,45,11.4,.400,.267,12.4,12.4,12.4,9.1,1.1,2.0,15.2,19.1,106,111,0.0,0.0,0.1,.069,-3.5,-1.1,-4.5,0.0
625,Tyler Cook,2020,2020,CLE,NBA,3.2,11,0,35,23.8,.000,.600,12.6,19.2,15.9,4.5,1.4,0.0,7.3,16.7,150,116,0.2,0.0,0.2,.244,3.0,-0.6,2.4,0.0
626,DaQuan Jeffries,2020,2020,SAC,NBA,3.2,6,0,19,10.7,.571,.000,5.8,0.0,3.0,7.8,2.6,0.0,0.0,16.1,114,114,0.0,0.0,0.0,.081,-2.3,-0.3,-2.6,0.0
627,DeVaughn Akoon-Purcell,2019,2019,DEN,NBA,3.1,7,0,22,8.2,.400,.200,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,84,104,-0.1,0.0,0.0,-.051,-7.9,2.1,-5.8,0.0
628,Nigel Williams-Goss,2020,2020,UTA,NBA,3.1,9,0,28,5.7,.286,.286,8.2,11.2,9.8,22.3,1.7,3.0,20.2,15.5,80,108,-0.1,0.0,0.0,-.045,-5.1,1.1,-3.9,0.0
629,Marques Bolden,2020,2020,CLE,NBA,3.0,1,0,3,19.8,,,0.0,74.7,37.0,0.0,16.2,0.0,,0.0,,69,0.0,0.0,0.0,.282,-5.8,11.3,5.5,0.0
630,Max Strus,2020,2020,CHI,NBA,3.0,2,0,6,30.7,.333,.333,17.5,0.0,9.2,0.0,0.0,0.0,0.0,24.4,153,119,0.0,0.0,0.0,.317,5.4,-1.0,4.4,0.0
631,Dewan Hernandez,2020,2020,TOR,NBA,2.8,4,0,11,4.2,.200,.400,19.6,47.0,33.6,0.0,4.3,0.0,14.5,26.8,80,90,0.0,0.0,0.0,.003,-18.3,-3.0,-21.3,-0.1
632,Shamorie Ponds,2020,2020,TOR,NBA,2.8,4,0,11,33.2,.400,.400,0.0,9.4,4.8,32.1,0.0,8.8,0.0,22.9,164,107,0.1,0.0,0.1,.451,8.4,5.3,13.7,0.0
633,Jared Harper,2020,2020,PHO,NBA,2.7,3,0,8,-5.3,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,54,120,0.0,0.0,0.0,-.253,-10.2,-5.7,-15.8,0.0
634,Kevin Hervey,2020,2020,OKC,NBA,2.7,7,0,19,-14.9,.727,.000,0.0,11.3,5.8,6.7,0.0,0.0,0.0,25.5,26,115,-0.2,0.0,-0.2,-.471,-13.4,-6.5,-19.9,-0.1
635,Ike Anigbogu,2018,2019,IND,NBA,2.6,14,0,36,17.0,.000,.500,18.9,18.5,18.7,3.2,1.4,9.9,17.0,21.7,95,102,0.0,0.1,0.0,.057,-0.9,-0.3,-1.1,0.0
636,Jarrell Brantley,2020,2020,UTA,NBA,2.6,5,0,13,2.7,,,0.0,40.3,21.1,9.2,0.0,12.8,100.0,6.8,27,97,0.0,0.0,0.0,-.053,-8.6,5.9,-2.7,0.0
637,Talen Horton-Tucker,2020,2020,LAL,NBA,2.5,2,0,5,14.8,1.000,.000,0.0,0.0,0.0,44.9,9.5,0.0,0.0,8.4,93,94,0.0,0.0,0.0,.110,0.6,7.2,7.8,0.0
638,Miye Oni,2020,2020,UTA,NBA,2.2,5,0,11,-9.9,.500,.000,0.0,19.1,10.0,0.0,0.0,0.0,33.3,12.0,0,113,-0.1,0.0,-0.1,-.285,-12.7,-4.6,-17.3,0.0
