Rk,Player,From,To,Tm,Lg,MPG,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
453,Kadeem Allen,2018,2020,TOT,NBA,13.6,47,2,640,13.5,.304,.357,2.3,9.6,5.9,26.2,1.8,1.1,15.2,19.0,109,113,0.6,0.4,1.0,.075,-1.2,0.2,-1.0,0.2
454,Raul Neto,2016,2020,TOT,NBA,13.6,248,57,3382,11.2,.372,.179,1.5,8.9,5.2,20.5,2.0,0.5,18.1,17.4,104,107,1.5,3.9,5.4,.077,-2.1,0.6,-1.5,0.4
455,Cameron Reynolds,2019,2019,MIN,NBA,13.6,19,0,259,10.4,.654,.115,1.6,11.3,6.4,6.8,1.1,0.7,5.7,14.1,118,116,0.3,0.1,0.4,.078,-1.3,-1.2,-2.5,0.0
456,Jonah Bolden,2019,2020,TOT,NBA,13.5,51,10,686,12.2,.578,.179,7.9,18.7,13.5,7.9,1.4,4.7,16.9,13.7,109,107,0.4,1.0,1.4,.098,-2.3,1.0,-1.3,0.1
457,Devin Robinson,2018,2019,WAS,NBA,13.5,8,0,108,19.4,.057,.400,8.0,17.4,12.7,8.3,2.2,4.7,4.6,17.0,125,109,0.3,0.1,0.4,.166,0.2,1.2,1.4,0.1
458,Grayson Allen,2019,2020,TOT,NBA,13.4,68,2,914,9.6,.537,.268,0.9,9.2,5.2,10.5,0.6,0.6,12.4,20.9,103,113,0.1,0.7,0.7,.039,-2.5,-1.8,-4.3,-0.5
459,Ante Žižić,2018,2020,CLE,NBA,13.4,113,27,1517,17.4,.000,.383,10.7,22.4,16.3,6.6,0.7,2.3,13.0,18.2,119,115,2.8,0.6,3.5,.110,-0.8,-1.8,-2.6,-0.2
460,Jimmer Fredette,2012,2019,TOT,NBA,13.3,241,7,3213,12.5,.405,.175,1.8,6.8,4.3,16.8,1.5,0.3,13.9,22.1,102,113,1.9,0.3,2.2,.033,-0.4,-2.1,-2.5,-0.4
461,Andre Ingram,2018,2019,LAL,NBA,13.2,6,0,79,10.9,.522,.130,2.7,8.0,5.4,12.4,2.4,3.1,14.1,15.1,97,107,0.0,0.1,0.1,.050,-1.4,1.1,-0.3,0.0
462,Justin Anderson,2016,2020,TOT,NBA,13.1,219,23,2874,12.8,.470,.265,5.2,16.3,10.7,7.7,1.7,2.0,10.6,18.8,104,108,1.4,3.2,4.6,.077,-1.2,0.0,-1.2,0.6
